root-logging.INFO-139968184391424-2019-12-10 17:24:32,217-data: data/yelp-50k/exp_split/1/, path_str: all
root-logging.INFO-139968184391424-2019-12-10 17:25:24,561-MF running: parras: K=10, reg=10, lr=10, silent_run=False
root-logging.INFO-140205497603840-2019-12-10 17:48:22,689-data: data/yelp-50k/exp_split/1/, path_str: all
root-logging.INFO-140205497603840-2019-12-10 17:49:13,662-MF running: parras: K=10, reg=10, lr=10, silent_run=False
root-logging.INFO-140279567456000-2019-12-10 17:53:06,124-data: data/yelp-50k/exp_split/1/, path_str: all
root-logging.INFO-140279567456000-2019-12-10 17:53:56,632-MF running: parras: K=10, reg=10, lr=10, silent_run=False
root-logging.INFO-140279567456000-2019-12-10 17:55:43,750-iter=82, obj=1203398.5901(0.07%), ls:((5363.2986, 0), (5363.2986, 0)), train_rmse=0.5542, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:45,408-iter=83, obj=1202583.6673(0.90%), ls:((7642.7005, 1), (7642.7005, 1)), train_rmse=0.5506, time:1.7s
root-logging.INFO-140279567456000-2019-12-10 17:55:46,524-iter=84, obj=1191718.6863(0.57%), ls:((7260.5654, 0), (7260.5654, 0)), train_rmse=0.5490, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:47,629-iter=85, obj=1184910.6429(0.48%), ls:((6897.5372, 0), (6897.5372, 0)), train_rmse=0.5470, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:48,734-iter=86, obj=1179204.5667(0.42%), ls:((6552.6603, 0), (6552.6603, 0)), train_rmse=0.5457, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:49,843-iter=87, obj=1174196.3186(0.39%), ls:((6225.0273, 0), (6225.0273, 0)), train_rmse=0.5441, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:50,949-iter=88, obj=1169671.7110(0.30%), ls:((5913.7759, 0), (5913.7759, 0)), train_rmse=0.5433, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:52,089-iter=89, obj=1166196.4044(0.11%), ls:((5618.0871, 0), (5618.0871, 0)), train_rmse=0.5424, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:53,747-iter=90, obj=1164901.4667(0.77%), ls:((8005.7742, 1), (8005.7742, 1)), train_rmse=0.5401, time:1.7s
root-logging.INFO-140279567456000-2019-12-10 17:55:54,858-iter=91, obj=1155878.8576(0.49%), ls:((7605.4855, 0), (7605.4855, 0)), train_rmse=0.5382, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:55,968-iter=92, obj=1150203.1454(0.40%), ls:((7225.2112, 0), (7225.2112, 0)), train_rmse=0.5370, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:57,073-iter=93, obj=1145640.9904(0.37%), ls:((6863.9506, 0), (6863.9506, 0)), train_rmse=0.5355, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:58,178-iter=94, obj=1141366.5760(0.36%), ls:((6520.7531, 0), (6520.7531, 0)), train_rmse=0.5344, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:55:59,282-iter=95, obj=1137236.4512(0.35%), ls:((6194.7154, 0), (6194.7154, 0)), train_rmse=0.5330, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:00,435-iter=96, obj=1133222.9501(0.32%), ls:((5884.9797, 0), (5884.9797, 0)), train_rmse=0.5320, time:1.2s
root-logging.INFO-140279567456000-2019-12-10 17:56:01,540-iter=97, obj=1129588.5923(0.23%), ls:((5590.7307, 0), (5590.7307, 0)), train_rmse=0.5309, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:03,137-iter=98, obj=1126981.5764(0.51%), ls:((7966.7912, 1), (7966.7912, 1)), train_rmse=0.5294, time:1.6s
root-logging.INFO-140279567456000-2019-12-10 17:56:04,234-iter=99, obj=1121196.4414(0.39%), ls:((7568.4517, 0), (7568.4517, 0)), train_rmse=0.5279, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:05,337-iter=100, obj=1116869.0918(0.35%), ls:((7190.0291, 0), (7190.0291, 0)), train_rmse=0.5268, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:06,433-iter=101, obj=1112964.2720(0.35%), ls:((6830.5276, 0), (6830.5276, 0)), train_rmse=0.5255, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:07,529-iter=102, obj=1109109.8223(0.35%), ls:((6489.0012, 0), (6489.0012, 0)), train_rmse=0.5244, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:08,668-iter=103, obj=1105238.6765(0.35%), ls:((6164.5512, 0), (6164.5512, 0)), train_rmse=0.5230, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:09,767-iter=104, obj=1101359.3579(0.34%), ls:((5856.3236, 0), (5856.3236, 0)), train_rmse=0.5220, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:10,866-iter=105, obj=1097666.5391(0.27%), ls:((5563.5074, 0), (5563.5074, 0)), train_rmse=0.5208, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:11,964-iter=106, obj=1094679.5531(0.04%), ls:((5285.3321, 0), (5285.3321, 0)), train_rmse=0.5209, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:13,553-iter=107, obj=1094248.5005(0.60%), ls:((7531.5982, 1), (7531.5982, 1)), train_rmse=0.5185, time:1.6s
root-logging.INFO-140279567456000-2019-12-10 17:56:14,651-iter=108, obj=1087665.2046(0.42%), ls:((7155.0183, 0), (7155.0183, 0)), train_rmse=0.5174, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:15,793-iter=109, obj=1083055.4931(0.37%), ls:((6797.2674, 0), (6797.2674, 0)), train_rmse=0.5158, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:16,915-iter=110, obj=1079045.9753(0.32%), ls:((6457.4040, 0), (6457.4040, 0)), train_rmse=0.5150, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:18,015-iter=111, obj=1075597.0278(0.26%), ls:((6134.5338, 0), (6134.5338, 0)), train_rmse=0.5138, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:19,113-iter=112, obj=1072807.4479(0.09%), ls:((5827.8071, 0), (5827.8071, 0)), train_rmse=0.5138, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:20,700-iter=113, obj=1071891.0608(0.78%), ls:((8304.6251, 1), (8304.6251, 1)), train_rmse=0.5109, time:1.6s
root-logging.INFO-140279567456000-2019-12-10 17:56:21,798-iter=114, obj=1063511.6985(0.45%), ls:((7889.3939, 0), (7889.3939, 0)), train_rmse=0.5096, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:22,953-iter=115, obj=1058757.1768(0.37%), ls:((7494.9242, 0), (7494.9242, 0)), train_rmse=0.5082, time:1.2s
root-logging.INFO-140279567456000-2019-12-10 17:56:24,055-iter=116, obj=1054789.6580(0.36%), ls:((7120.1780, 0), (7120.1780, 0)), train_rmse=0.5071, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:25,166-iter=117, obj=1051025.4149(0.36%), ls:((6764.1691, 0), (6764.1691, 0)), train_rmse=0.5057, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:26,276-iter=118, obj=1047245.5685(0.36%), ls:((6425.9606, 0), (6425.9606, 0)), train_rmse=0.5046, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:27,381-iter=119, obj=1043432.7999(0.36%), ls:((6104.6626, 0), (6104.6626, 0)), train_rmse=0.5032, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:28,485-iter=120, obj=1039644.2186(0.33%), ls:((5799.4295, 0), (5799.4295, 0)), train_rmse=0.5022, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:29,592-iter=121, obj=1036173.7491(0.23%), ls:((5509.4580, 0), (5509.4580, 0)), train_rmse=0.5012, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:31,235-iter=122, obj=1033818.6822(0.51%), ls:((7850.9776, 1), (7850.9776, 1)), train_rmse=0.4997, time:1.6s
root-logging.INFO-140279567456000-2019-12-10 17:56:32,341-iter=123, obj=1028530.4273(0.41%), ls:((7458.4288, 0), (7458.4288, 0)), train_rmse=0.4982, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:33,449-iter=124, obj=1024343.4316(0.37%), ls:((7085.5073, 0), (7085.5073, 0)), train_rmse=0.4971, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:34,556-iter=125, obj=1020529.6404(0.37%), ls:((6731.2320, 0), (6731.2320, 0)), train_rmse=0.4957, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:35,692-iter=126, obj=1016792.7431(0.36%), ls:((6394.6704, 0), (6394.6704, 0)), train_rmse=0.4946, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:36,815-iter=127, obj=1013150.1081(0.34%), ls:((6074.9368, 0), (6074.9368, 0)), train_rmse=0.4933, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:37,961-iter=128, obj=1009736.6206(0.25%), ls:((5771.1900, 0), (5771.1900, 0)), train_rmse=0.4926, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:39,068-iter=129, obj=1007168.7466(0.01%), ls:((5482.6305, 0), (5482.6305, 0)), train_rmse=0.4921, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:40,671-iter=130, obj=1007075.4982(0.69%), ls:((7812.7485, 1), (7812.7485, 1)), train_rmse=0.4903, time:1.6s
root-logging.INFO-140279567456000-2019-12-10 17:56:41,779-iter=131, obj=1000091.1988(0.49%), ls:((7422.1110, 0), (7422.1110, 0)), train_rmse=0.4884, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:42,888-iter=132, obj=995207.8772(0.40%), ls:((7051.0055, 0), (7051.0055, 0)), train_rmse=0.4873, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:44,001-iter=133, obj=991251.2840(0.36%), ls:((6698.4552, 0), (6698.4552, 0)), train_rmse=0.4858, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:45,153-iter=134, obj=987647.1253(0.31%), ls:((6363.5324, 0), (6363.5324, 0)), train_rmse=0.4850, time:1.2s
root-logging.INFO-140279567456000-2019-12-10 17:56:46,276-iter=135, obj=984547.5346(0.23%), ls:((6045.3558, 0), (6045.3558, 0)), train_rmse=0.4839, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:56:47,875-iter=136, obj=982321.2558(0.65%), ls:((8614.6320, 1), (8614.6320, 1)), train_rmse=0.4821, time:1.6s
